provincia,canton,codigo_canton,total_homicidios,latitud,longitud,femicidios,asesinatos,sicariatos,homicidios_2023,homicidios_2024,homicidios_2025,homicidios_2026,poblacion_miles,homicide_rate_2024,homicide_rate_2025,homicide_rate_2026_proj
Tungurahua,Baños De Agua Santa,1802,19,-1.395,-78.421,1,17,0,4,1,1,1,50,2.0,2.0,4.0
Tungurahua,Cevallos,1803,8,-1.18,-78.62,3,5,0,2,1,3,0,50,2.0,6.0,0.0
Tungurahua,Mocha,1804,1,-1.415,-78.62,1,0,0,0,0,0,0,50,0.0,0.0,0.0
Tungurahua,Patate,1805,8,-1.286,-78.55,0,7,0,0,1,6,0,50,2.0,12.0,0.0
Tungurahua,Quero,1806,1,-1.364,-78.62,0,0,0,0,0,0,0,50,0.0,0.0,0.0
Tungurahua,San Pedro De Pelileo,1807,25,-1.338,-78.547,2,21,0,3,6,6,0,50,12.0,12.0,0.0
Tungurahua,Santiago De Píllaro,1808,20,-1.03,-78.547,2,16,0,4,0,0,1,50,0.0,0.0,4.0
Tungurahua,Tisaleo,1809,5,-1.346,-78.62,0,5,0,1,0,2,0,50,0.0,4.0,0.0
Zamora Chinchipe,Centinela Del Cóndor,1907,6,-3.258,-78.64,1,1,0,1,1,1,1,50,2.0,2.0,4.0
Zamora Chinchipe,Chinchipe,1902,4,-4.648,-79.0,0,3,0,1,1,1,1,50,2.0,2.0,4.0
Zamora Chinchipe,El Pangui,1906,19,-3.4,-78.64,1,14,0,2,4,6,3,50,8.0,12.0,12.0
Zamora Chinchipe,Nangaritza,1903,6,-3.492,-78.64,1,4,0,0,0,1,0,50,0.0,2.0,0.0
Zamora Chinchipe,Palanda,1908,3,-4.648,-79.0,0,2,0,0,0,0,0,50,0.0,0.0,0.0
Zamora Chinchipe,Paquisha,1909,17,-3.564,-78.64,0,14,0,5,1,6,0,50,2.0,12.0,0.0
Zamora Chinchipe,Yantzaza,1905,19,-3.4,-78.64,1,10,0,3,2,6,1,50,4.0,12.0,4.0
Zamora Chinchipe,Zamora,1901,14,-4.069,-78.957,2,3,1,0,1,4,0,30,3.3,13.3,0.0
