provincia,canton,codigo_canton,total_homicidios,latitud,longitud,femicidios,asesinatos,sicariatos,homicidios_2023,homicidios_2024,homicidios_2025,homicidios_2026,poblacion_miles,homicide_rate_2024,homicide_rate_2025,homicide_rate_2026_proj,local_moran_i,lisa_quadrant,gi_star_z,gi_p_value,hotspot_label
Pastaza,Pastaza,1601,89,-1.3711101824507488,-70.96817704386766,4,71,0,26,2,15,9,50,4.0,30.0,36.0,-0.6143,High outlier (HL),-1.532,0.1255,not significant
Pastaza,Santa Clara,1603,4,-1.3028141049999975,-77.8990757225,0,3,0,0,0,1,0,50,0.0,2.0,0.0,-0.9115,Low outlier (LH),2.9128,0.0036,hotspot (99%)
Pichincha,Cayambe,1702,67,0.0246088047223711,-72.32593295787284,11,32,1,8,12,10,5,85,14.1,11.8,11.8,0.0447,Hotspot (HH),0.9115,0.362,not significant
Pichincha,Mejía,1703,59,-0.4005359921654107,-73.24955397898123,7,32,0,4,7,9,3,81,8.6,11.1,7.4,0.0338,High outlier (HL),0.702,0.4827,not significant
Pichincha,Pedro Moncayo,1704,41,0.0426473633393927,-68.70355705615532,6,27,0,4,3,3,7,50,6.0,6.0,28.0,0.0386,Coldspot (LL),-0.2503,0.8024,not significant
Pichincha,Pedro Vicente Maldonado,1708,18,0.0769623598325601,-70.27594270924189,0,18,0,2,1,4,0,13,7.7,30.8,0.0,-0.2481,High outlier (HL),-0.6448,0.5191,not significant
Pichincha,Puerto Quito,1709,51,0.157467688402343,-73.03268507737143,1,43,0,1,6,17,3,50,12.0,34.0,12.0,-0.0847,High outlier (HL),-0.2808,0.7789,not significant
Pichincha,Quito,1701,2174,-0.1892544787381859,-73.79959133236179,113,577,6,294,249,271,119,2010,12.4,13.5,11.8,-0.0584,High outlier (HL),-0.7121,0.4764,not significant
Pichincha,Rumiñahui,1705,55,-0.2936916941708535,-68.46602398639416,8,24,3,12,6,7,3,50,12.0,14.0,12.0,-0.0851,High outlier (HL),-0.6334,0.5265,not significant
Pichincha,San Miguel De Los Bancos,1707,16,-0.0001410387875564,-54.23705042151196,3,9,0,1,3,1,0,50,6.0,2.0,0.0,0.8869,Coldspot (LL),-2.6496,0.0081,coldspot (99%)
